2015-10-29 10:52:20.739 pinger DEBUG PING 192.168.233.100 (192.168.233.100) 56(84) bytes of data.
2015-10-29 10:52:20.744 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=1 ttl=63 time=4.52 ms
2015-10-29 10:52:21.237 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=2 ttl=63 time=1.70 ms
2015-10-29 10:52:21.738 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=3 ttl=63 time=1.14 ms
2015-10-29 10:52:22.238 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=4 ttl=63 time=1.02 ms
2015-10-29 10:52:22.740 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=5 ttl=63 time=1.19 ms
2015-10-29 10:52:23.241 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=6 ttl=63 time=1.09 ms
2015-10-29 10:52:23.741 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=7 ttl=63 time=1.02 ms
2015-10-29 10:52:24.242 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=8 ttl=63 time=0.991 ms
2015-10-29 10:52:24.742 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=9 ttl=63 time=1.14 ms
2015-10-29 10:52:25.243 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=10 ttl=63 time=1.08 ms
2015-10-29 10:52:25.744 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=11 ttl=63 time=1.03 ms
2015-10-29 10:52:26.245 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=12 ttl=63 time=1.11 ms
2015-10-29 10:52:26.746 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=13 ttl=63 time=1.24 ms
2015-10-29 10:52:27.247 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=14 ttl=63 time=1.03 ms
2015-10-29 10:52:27.747 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=15 ttl=63 time=1.04 ms
2015-10-29 10:52:28.248 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=16 ttl=63 time=1.19 ms
2015-10-29 10:52:28.754 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=17 ttl=63 time=1.74 ms
2015-10-29 10:52:29.251 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=18 ttl=63 time=1.21 ms
2015-10-29 10:52:29.760 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=19 ttl=63 time=1.26 ms
2015-10-29 10:52:30.253 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=20 ttl=63 time=1.19 ms
2015-10-29 10:52:30.758 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=21 ttl=63 time=1.69 ms
2015-10-29 10:52:31.255 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=22 ttl=63 time=1.15 ms
2015-10-29 10:52:31.756 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=23 ttl=63 time=1.31 ms
2015-10-29 10:52:32.262 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=24 ttl=63 time=1.57 ms
2015-10-29 10:52:32.760 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=25 ttl=63 time=2.08 ms
2015-10-29 10:52:33.260 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=26 ttl=63 time=1.11 ms
2015-10-29 10:52:33.762 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=27 ttl=63 time=1.17 ms
2015-10-29 10:52:34.264 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=28 ttl=63 time=1.26 ms
2015-10-29 10:52:34.765 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=29 ttl=63 time=1.29 ms
2015-10-29 10:52:35.265 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=30 ttl=63 time=1.13 ms
2015-10-29 10:52:35.768 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=31 ttl=63 time=1.18 ms
2015-10-29 10:52:36.270 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=32 ttl=63 time=1.08 ms
2015-10-29 10:52:36.770 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=33 ttl=63 time=1.33 ms
2015-10-29 10:52:37.270 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=34 ttl=63 time=1.00 ms
2015-10-29 10:52:37.772 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=35 ttl=63 time=1.19 ms
2015-10-29 10:52:38.273 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=36 ttl=63 time=1.33 ms
2015-10-29 10:52:38.780 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=37 ttl=63 time=1.40 ms
2015-10-29 10:52:39.275 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=38 ttl=63 time=1.47 ms
2015-10-29 10:52:39.777 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=39 ttl=63 time=1.94 ms
2015-10-29 10:52:40.276 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=40 ttl=63 time=1.07 ms
2015-10-29 10:52:40.787 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=41 ttl=63 time=1.33 ms
2015-10-29 10:52:41.279 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=42 ttl=63 time=1.05 ms
2015-10-29 10:52:41.781 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=43 ttl=63 time=1.11 ms
2015-10-29 10:52:42.282 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=44 ttl=63 time=0.996 ms
2015-10-29 10:52:42.792 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=45 ttl=63 time=1.21 ms
2015-10-29 10:52:43.285 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=46 ttl=63 time=1.06 ms
2015-10-29 10:52:43.786 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=47 ttl=63 time=1.16 ms
2015-10-29 10:52:44.286 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=48 ttl=63 time=1.20 ms
2015-10-29 10:52:44.796 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=49 ttl=63 time=1.55 ms
2015-10-29 10:52:45.289 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=50 ttl=63 time=1.09 ms
2015-10-29 10:52:45.790 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=51 ttl=63 time=1.19 ms
2015-10-29 10:52:46.291 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=52 ttl=63 time=1.17 ms
2015-10-29 10:52:46.793 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=53 ttl=63 time=1.25 ms
2015-10-29 10:52:47.294 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=54 ttl=63 time=1.13 ms
2015-10-29 10:52:47.794 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=55 ttl=63 time=1.23 ms
2015-10-29 10:52:48.297 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=56 ttl=63 time=1.13 ms
2015-10-29 10:52:48.797 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=57 ttl=63 time=1.36 ms
2015-10-29 10:52:49.298 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=58 ttl=63 time=1.14 ms
2015-10-29 10:52:49.799 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=59 ttl=63 time=1.25 ms
2015-10-29 10:52:50.300 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=60 ttl=63 time=1.16 ms
2015-10-29 10:52:50.807 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=61 ttl=63 time=1.31 ms
2015-10-29 10:52:51.302 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=62 ttl=63 time=1.29 ms
2015-10-29 10:52:51.805 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=63 ttl=63 time=1.91 ms
2015-10-29 10:52:52.305 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=64 ttl=63 time=1.13 ms
2015-10-29 10:52:52.810 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=65 ttl=63 time=1.32 ms
2015-10-29 10:52:53.309 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=66 ttl=63 time=1.11 ms
2015-10-29 10:52:53.810 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=67 ttl=63 time=1.17 ms
2015-10-29 10:52:54.312 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=68 ttl=63 time=1.08 ms
2015-10-29 10:52:54.816 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=69 ttl=63 time=1.37 ms
2015-10-29 10:52:55.315 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=70 ttl=63 time=1.12 ms
2015-10-29 10:52:55.817 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=71 ttl=63 time=3.21 ms
2015-10-29 10:52:56.317 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=72 ttl=63 time=1.22 ms
2015-10-29 10:52:56.824 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=73 ttl=63 time=1.29 ms
2015-10-29 10:52:57.323 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=74 ttl=63 time=1.20 ms
2015-10-29 10:52:57.821 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=75 ttl=63 time=1.15 ms
2015-10-29 10:52:58.324 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=76 ttl=63 time=1.80 ms
2015-10-29 10:52:58.826 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=77 ttl=63 time=1.39 ms
2015-10-29 10:52:59.328 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=78 ttl=63 time=1.26 ms
2015-10-29 10:52:59.828 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=79 ttl=63 time=1.40 ms
2015-10-29 10:53:00.330 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=80 ttl=63 time=1.14 ms
2015-10-29 10:53:00.832 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=81 ttl=63 time=1.38 ms
2015-10-29 10:53:01.332 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=82 ttl=63 time=1.17 ms
2015-10-29 10:53:01.904 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=83 ttl=63 time=73.5 ms
2015-10-29 10:53:02.336 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=84 ttl=63 time=1.14 ms
2015-10-29 10:53:02.836 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=85 ttl=63 time=1.36 ms
2015-10-29 10:53:03.337 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=86 ttl=63 time=1.34 ms
2015-10-29 10:53:03.838 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=87 ttl=63 time=1.22 ms
2015-10-29 10:53:04.341 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=88 ttl=63 time=1.13 ms
2015-10-29 10:53:04.841 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=89 ttl=63 time=1.33 ms
2015-10-29 10:53:05.347 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=90 ttl=63 time=1.58 ms
2015-10-29 10:53:05.845 pinger DEBUG 64 bytes from 192.168.233.100: icmp_seq=91 ttl=63 time=1.22 ms
